2021-03-15 13:10:55,097; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: Message: 'User Data Directory: '
2021-03-15 13:10:55,097; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: Arguments: ('C:\\Users\\tmsusr\\AppData\\Roaming\\appwin',)
2021-03-15 13:10:56,287; INFO    ; [9264 - MainProcess - 11492]; kivy                               ; <module>            ;   35: VideoGstplayer: Using Gstreamer 1.18.0.0
2021-03-15 13:10:56,288; INFO    ; [9264 - MainProcess - 11492]; kivy                               ; core_select_lib     ;   68: Video: Provider: gstplayer
2021-03-15 13:11:01,753; ERROR   ; [9264 - MainProcess - 11492]; kivy                               ; texture_update      ;  259: Image: Not found <C:\Users\tmsusr\PycharmProjects\ScreenRecording\static\Recording1.avi>
2021-03-15 13:11:01,755; INFO    ; [9264 - MainProcess - 11492]; kivy                               ; stopTouchApp        ;  624: Base: Leaving application in progress...
2021-03-15 13:11:01,806; INFO    ; [9264 - MainProcess - 11492]; kivy                               ; _runTouchApp_prepare;  528: Base: Start application main loop
2021-03-15 13:11:08,894; INFO    ; [9264 - MainProcess - 11492]; kivy                               ; stopTouchApp        ;  624: Base: Leaving application in progress...
2021-03-15 13:12:04,652; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: --- Logging error ---
2021-03-15 13:12:04,654; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Traceback (most recent call last):
2021-03-15 13:12:04,655; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 1025, in emit
2021-03-15 13:12:04,655; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     msg = self.format(record)
2021-03-15 13:12:04,655; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 869, in format
2021-03-15 13:12:04,655; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     return fmt.format(record)
2021-03-15 13:12:04,656; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 608, in format
2021-03-15 13:12:04,656; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     record.message = record.getMessage()
2021-03-15 13:12:04,656; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 369, in getMessage
2021-03-15 13:12:04,656; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     msg = msg % self.args
2021-03-15 13:12:04,657; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: TypeError: not all arguments converted during string formatting
2021-03-15 13:12:04,657; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Call stack:
2021-03-15 13:12:04,662; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 62, in <module>
2021-03-15 13:12:04,663; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     main()
2021-03-15 13:12:04,663; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 31, in main
2021-03-15 13:12:04,663; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     app.run()
2021-03-15 13:12:04,663; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\app.py", line 950, in run
2021-03-15 13:12:04,663; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     runTouchApp()
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 582, in runTouchApp
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     EventLoop.mainloop()
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 347, in mainloop
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self.idle()
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 387, in idle
2021-03-15 13:12:04,664; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     Clock.tick()
2021-03-15 13:12:04,665; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\clock.py", line 733, in tick
2021-03-15 13:12:04,665; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self.post_idle(ts, self.idle())
2021-03-15 13:12:04,665; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\clock.py", line 776, in post_idle
2021-03-15 13:12:04,665; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     self._process_events()
2021-03-15 13:12:04,665; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\startupscreen.py", line 24, in <lambda>
2021-03-15 13:12:04,666; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     Clock.schedule_once(lambda dt: self.load_navigation(), 2)
2021-03-15 13:12:04,666; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\startupscreen.py", line 45, in load_navigation
2021-03-15 13:12:04,666; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     app.screens.primary_widget = NavigationScreen()
2021-03-15 13:12:04,666; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\navigation.py", line 13, in __init__
2021-03-15 13:12:04,666; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     applogger().logger.info("User Data Directory: ",f_path)
2021-03-15 13:12:04,667; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Message: 'User Data Directory: '
2021-03-15 13:12:04,667; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Arguments: ('C:\\Users\\tmsusr\\AppData\\Roaming\\appwin',)
2021-03-15 13:12:04,667; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: --- Logging error ---
2021-03-15 13:12:04,668; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Traceback (most recent call last):
2021-03-15 13:12:04,669; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\handlers.py", line 69, in emit
2021-03-15 13:12:04,669; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     if self.shouldRollover(record):
2021-03-15 13:12:04,669; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\handlers.py", line 185, in shouldRollover
2021-03-15 13:12:04,669; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     msg = "%s\n" % self.format(record)
2021-03-15 13:12:04,669; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 869, in format
2021-03-15 13:12:04,670; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     return fmt.format(record)
2021-03-15 13:12:04,670; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 608, in format
2021-03-15 13:12:04,670; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     record.message = record.getMessage()
2021-03-15 13:12:04,670; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 369, in getMessage
2021-03-15 13:12:04,670; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     msg = msg % self.args
2021-03-15 13:12:04,671; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: TypeError: not all arguments converted during string formatting
2021-03-15 13:12:04,671; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr: Call stack:
2021-03-15 13:12:04,672; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 62, in <module>
2021-03-15 13:12:04,672; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     main()
2021-03-15 13:12:04,672; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 31, in main
2021-03-15 13:12:04,672; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     app.run()
2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\app.py", line 950, in run
2021-03-15 13:12:04,673; WARNING ; [10092 - MainProcess - 10980]; kivy                               ; write               ;  335: stderr:     runTouchApp()
